region,year,dominate,h1_p,h3_p,h1_g,h3_g,h3h1_g,h3h1_p,logh3h1_g,logh3h1_p,,Abbreviation:,
NY,2009,h1,73.22033898,16.61016949,116.6725352,3.5223881,0.030190379,0.226851852,-1.52013143,-0.644257671,,,
NY,2010,h1,24.71200297,0.557413601,1.02985077,0.18181818,0.176548084,0.022556391,-0.753136992,-1.646730386,,,
NY,2011,h3,14.47477254,34.98759305,2.125,1.6666667,0.784313741,2.417142857,-0.105510176,0.383302319,,,
NY,2012,h3,9.686609687,17.52136752,4.7142858,3.2,0.678787866,1.808823529,-0.168265929,0.257396199,,,
NY,2013,h3,1.533333333,58.6,2.2,4.95833326,2.253787845,38.21739131,0.352913032,1.582261039,,,
NY,2014,h1,30.13876843,3.165654814,5,5.2444444,1.04888888,0.105035971,0.020729481,-0.978661944,,,
NY,2015,h3,0.040600893,38.81445392,2,5.70893629,2.854468145,956.0000052,0.455525201,2.980457895,,,
NY,2016,h1,32.83938815,2.868068834,3.69230768,3.48936147,0.945035401,0.087336245,-0.024551922,-1.058805487,,,
NY,2017,h3,0.894988067,37.17183771,0.875,5.23404298,5.981763406,41.53333333,0.776829232,1.618396788,,,
NY,2018,h3,6.503772907,44.8796263,3.137931,2.8823529,0.918552033,6.900552486,-0.036896237,0.838883863,,,
NY,2019,h1,42.90540541,36.26126126,0.625,10.31274091,16.50038546,0.845144357,1.21749409,-0.073069104,,,
